Evaluation for kmeans Summary
File Name,ROUGE,Precision,Recall,F-measure
018.txt,rouge-2,0.24752475247524752,0.16025641025641027,0.19455252441187618
018.txt,rouge-l,0.35365853658536583,0.3118279569892473,0.3314285664483265
019.txt,rouge-1,0.7906976744186046,0.45132743362831856,0.5746478826972427
019.txt,rouge-2,0.7109375,0.40444444444444444,0.5155807319214504
019.txt,rouge-l,0.7011494252873564,0.5083333333333333,0.5893719758034026
020.txt,rouge-1,0.7586206896551724,0.4018264840182648,0.5253731298010247
020.txt,rouge-2,0.6260869565217392,0.3302752293577982,0.4324324279107937
020.txt,rouge-l,0.7,0.5163934426229508,0.5943396177554291
021.txt,rouge-1,0.8256880733944955,0.5202312138728323,0.6382978675979579
021.txt,rouge-2,0.7592592592592593,0.47674418604651164,0.5857142809755104
021.txt,rouge-l,0.7948717948717948,0.5210084033613446,0.6294416195820558
022.txt,rouge-1,0.4032258064516129,0.24271844660194175,0.30303029833902667
022.txt,rouge-2,0.13114754098360656,0.0784313725490196,0.09815950451880033
022.txt,rouge-l,0.3829787234042553,0.25,0.3025210036240379
023.txt,rouge-1,0.890625,0.5588235294117647,0.6867469832138192
023.txt,rouge-2,0.8031496062992126,0.5024630541871922,0.6181818134470158
023.txt,rouge-l,0.8522727272727273,0.6302521008403361,0.7246376762715584
024.txt,rouge-1,0.46774193548387094,0.28431372549019607,0.3536585318828079
024.txt,rouge-2,0.32786885245901637,0.19801980198019803,0.24691357555174523
024.txt,rouge-l,0.43859649122807015,0.3787878787878788,0.4065040600674202
025.txt,rouge-1,0.68,0.40476190476190477,0.5074626818890623
025.txt,rouge-2,0.6122448979591837,0.3614457831325301,0.4545454498771809
025.txt,rouge-l,0.627906976744186,0.4909090909090909,0.5510204032382341
026.txt,rouge-1,0.7339449541284404,0.39800995024875624,0.5161290276984393
026.txt,rouge-2,0.6111111111111112,0.33,0.4285714240175409
026.txt,rouge-l,0.7073170731707317,0.464,0.5603864686457095
027.txt,rouge-1,0.5736434108527132,0.3217391304347826,0.4122562628052234
027.txt,rouge-2,0.296875,0.16593886462882096,0.21288514946182405
027.txt,rouge-l,0.4574468085106383,0.32575757575757575,0.3805309685926855
028.txt,rouge-1,0.7559055118110236,0.4752475247524752,0.5835866213996546
028.txt,rouge-2,0.5952380952380952,0.373134328358209,0.4587155915933002
028.txt,rouge-l,0.7127659574468085,0.48905109489051096,0.580086575259834
029.txt,rouge-1,0.7633587786259542,0.5681818181818182,0.651465793153031
029.txt,rouge-2,0.676923076923077,0.5028571428571429,0.5770491754367107
029.txt,rouge-l,0.7282608695652174,0.6090909090909091,0.6633663316733655
030.txt,rouge-1,0.547945205479452,0.3053435114503817,0.39215685814926954
030.txt,rouge-2,0.2916666666666667,0.16153846153846155,0.2079207874914225
030.txt,rouge-l,0.4603174603174603,0.3020833333333333,0.36477986942921564
031.txt,rouge-1,0.7832699619771863,0.48243559718969553,0.5971014445578241
031.txt,rouge-2,0.6717557251908397,0.4131455399061033,0.5116279022608506
031.txt,rouge-l,0.7396449704142012,0.5165289256198347,0.6082725012404615
032.txt,rouge-1,0.816793893129771,0.5783783783783784,0.677215185019428
032.txt,rouge-2,0.7241379310344828,0.5121951219512195,0.5999999951469389
032.txt,rouge-l,0.7740112994350282,0.6199095022624435,0.6884422061163861
033.txt,rouge-1,0.7380952380952381,0.4460431654676259,0.5560538069633415
033.txt,rouge-2,0.6024096385542169,0.36231884057971014,0.45248868309248386
033.txt,rouge-l,0.7666666666666667,0.5348837209302325,0.6301369814599362
034.txt,rouge-1,0.8707865168539326,0.5555555555555556,0.6783369755505653
034.txt,rouge-2,0.8192090395480226,0.5215827338129496,0.6373626326090086
034.txt,rouge-l,0.8661417322834646,0.6832298136645962,0.7638888839585745
035.txt,rouge-1,0.8210526315789474,0.47560975609756095,0.6023165976714719
035.txt,rouge-2,0.6276595744680851,0.3619631901840491,0.4591439642320096
035.txt,rouge-l,0.782608695652174,0.4954128440366973,0.6067415682862014
036.txt,rouge-1,0.3508771929824561,0.273972602739726,0.3076923027680474
036.txt,rouge-2,0.03571428571428571,0.027777777777777776,0.03124999507812578
036.txt,rouge-l,0.26,0.26,0.2599999950000001
037.txt,rouge-1,0.7731958762886598,0.6302521008403361,0.6944444394963135
037.txt,rouge-2,0.6458333333333334,0.5254237288135594,0.5794392473892918
037.txt,rouge-l,0.7375,0.6941176470588235,0.7151515101561067
038.txt,rouge-1,0.3944954128440367,0.3282442748091603,0.35833332837534726
038.txt,rouge-2,0.25925925925925924,0.2153846153846154,0.2352941126897819
038.txt,rouge-l,0.37777777777777777,0.38636363636363635,0.38202246691074365
039.txt,rouge-1,0.7704918032786885,0.44761904761904764,0.5662650555922486
039.txt,rouge-2,0.7,0.40384615384615385,0.5121951173111243
039.txt,rouge-l,0.6888888888888889,0.5,0.5794392474626605
040.txt,rouge-1,0.7664670658682635,0.5161290322580645,0.6168674650699958
040.txt,rouge-2,0.6626506024096386,0.44534412955465585,0.5326876465240461
040.txt,rouge-l,0.7213114754098361,0.5986394557823129,0.6542750879799892
041.txt,rouge-1,0.7916666666666666,0.5253456221198156,0.6315789425728777
041.txt,rouge-2,0.7342657342657343,0.4861111111111111,0.5849582124769361
