Evaluation for Combined Summary
File Name,ROUGE,Method,Precision,Recall,F-measure
003.txt,rouge-2,GraphBased,1.0,0.2,0.33333333055555564
003.txt,rouge-2,FeatureBased,0.5487179487179488,0.5783783783783784,0.5631578897403048
003.txt,rouge-2,ClusterBased,0.6818181818181818,0.08108108108108109,0.14492753433218983
003.txt,rouge-2,Final,0.4820717131474104,0.654054054054054,0.5550458666742069
003.txt,rouge-l,GraphBased,1.0,0.3063063063063063,0.46896551365136746
003.txt,rouge-l,FeatureBased,0.5853658536585366,0.6486486486486487,0.6153846103977646
003.txt,rouge-l,ClusterBased,0.7727272727272727,0.15315315315315314,0.255639094983323
003.txt,rouge-l,Final,0.49390243902439024,0.7297297297297297,0.5890909042766281
004.txt,rouge-1,GraphBased,1.0,0.2549019607843137,0.40624999676269535
004.txt,rouge-1,FeatureBased,0.82,0.803921568627451,0.811881183119302
004.txt,rouge-1,ClusterBased,1.0,0.16666666666666666,0.2857142832653061
004.txt,rouge-1,Final,0.5886524822695035,0.8137254901960784,0.6831275671452524
004.txt,rouge-2,GraphBased,1.0,0.24752475247524752,0.3968253936444949
004.txt,rouge-2,FeatureBased,0.7676767676767676,0.7524752475247525,0.7599999950005001
004.txt,rouge-2,ClusterBased,1.0,0.15841584158415842,0.27350427114325376
004.txt,rouge-2,Final,0.5428571428571428,0.7524752475247525,0.6307053893218092
004.txt,rouge-l,GraphBased,1.0,0.30666666666666664,0.4693877515097876
004.txt,rouge-l,FeatureBased,0.8493150684931506,0.8266666666666667,0.837837832838751
004.txt,rouge-l,ClusterBased,1.0,0.22666666666666666,0.36956521437854445
004.txt,rouge-l,Final,0.5849056603773585,0.8266666666666667,0.6850828680748451
005.txt,rouge-1,GraphBased,0.19230769230769232,0.06097560975609756,0.0925925889369
005.txt,rouge-1,FeatureBased,0.7638888888888888,0.6707317073170732,0.7142857093067971
005.txt,rouge-1,ClusterBased,0.4,0.024390243902439025,0.04597701041088654
005.txt,rouge-1,Final,0.4316546762589928,0.7317073170731707,0.5429864206719764
005.txt,rouge-2,GraphBased,0.0,0.0,0.0
005.txt,rouge-2,FeatureBased,0.676056338028169,0.5925925925925926,0.6315789423900623
005.txt,rouge-2,ClusterBased,0.0,0.0,0.0
005.txt,rouge-2,Final,0.34782608695652173,0.5925925925925926,0.4383561597222743
005.txt,rouge-l,GraphBased,0.16,0.06153846153846154,0.0888888848765434
005.txt,rouge-l,FeatureBased,0.75,0.6923076923076923,0.7199999950079999
005.txt,rouge-l,ClusterBased,0.4,0.03076923076923077,0.05714285581632657
005.txt,rouge-l,Final,0.40869565217391307,0.7230769230769231,0.5222222176080248
006.txt,rouge-1,GraphBased,1.0,0.30303030303030304,0.4651162755002705
006.txt,rouge-1,FeatureBased,0.5135135135135135,0.5757575757575758,0.5428571378734695
006.txt,rouge-1,ClusterBased,1.0,0.25757575757575757,0.4096385509595007
006.txt,rouge-1,Final,0.4074074074074074,0.8333333333333334,0.547263677181258
006.txt,rouge-2,GraphBased,1.0,0.2923076923076923,0.45238094888038555
006.txt,rouge-2,FeatureBased,0.3972602739726027,0.4461538461538462,0.42028985008926695
006.txt,rouge-2,ClusterBased,1.0,0.24615384615384617,0.39506172522481336
006.txt,rouge-2,Final,0.35074626865671643,0.7230769230769231,0.4723618046463473
006.txt,rouge-l,GraphBased,1.0,0.35714285714285715,0.5263157855955679
006.txt,rouge-l,FeatureBased,0.5161290322580645,0.5714285714285714,0.5423728763688597
006.txt,rouge-l,ClusterBased,1.0,0.30357142857142855,0.46575342108463125
006.txt,rouge-l,Final,0.4380952380952381,0.8214285714285714,0.5714285668917094
007.txt,rouge-1,GraphBased,0.2,0.09259259259259259,0.12658227415478301
007.txt,rouge-1,FeatureBased,1.0,0.6296296296296297,0.7727272679855373
007.txt,rouge-1,ClusterBased,1.0,0.2962962962962963,0.45714285361632656
007.txt,rouge-1,Final,0.38,0.7037037037037037,0.49350648895260596
007.txt,rouge-2,GraphBased,0.0,0.0,0.0
007.txt,rouge-2,FeatureBased,0.9696969696969697,0.6037735849056604,0.7441860417820444
007.txt,rouge-2,ClusterBased,1.0,0.2830188679245283,0.44117646714965403
007.txt,rouge-2,Final,0.32323232323232326,0.6037735849056604,0.4210526270368768
007.txt,rouge-l,GraphBased,0.13043478260869565,0.061224489795918366,0.08333332898533974
007.txt,rouge-l,FeatureBased,1.0,0.673469387755102,0.8048780439708507
007.txt,rouge-l,ClusterBased,1.0,0.32653061224489793,0.49230768859644974
007.txt,rouge-l,Final,0.38202247191011235,0.6938775510204082,0.4927536186084857
008.txt,rouge-1,GraphBased,1.0,0.29508196721311475,0.45569619901297875
008.txt,rouge-1,FeatureBased,0.6236559139784946,0.47540983606557374,0.5395348788118984
008.txt,rouge-1,ClusterBased,1.0,0.29508196721311475,0.45569619901297875
008.txt,rouge-1,Final,0.48507462686567165,0.5327868852459017,0.5078124950109865
008.txt,rouge-2,GraphBased,1.0,0.2892561983471074,0.44871794523750824
008.txt,rouge-2,FeatureBased,0.43478260869565216,0.3305785123966942,0.3755868495527784
008.txt,rouge-2,ClusterBased,1.0,0.2892561983471074,0.44871794523750824
008.txt,rouge-2,Final,0.3082706766917293,0.33884297520661155,0.32283464068045137
008.txt,rouge-l,GraphBased,1.0,0.34831460674157305,0.5166666628347223
008.txt,rouge-l,FeatureBased,0.6417910447761194,0.48314606741573035,0.5512820463814926
008.txt,rouge-l,ClusterBased,1.0,0.34831460674157305,0.5166666628347223
008.txt,rouge-l,Final,0.46464646464646464,0.5168539325842697,0.48936169714180633
009.txt,rouge-1,GraphBased,0.6333333333333333,0.2122905027932961,0.3179916280387248
009.txt,rouge-1,FeatureBased,0.6733668341708543,0.7486033519553073,0.7089947040087065
009.txt,rouge-1,ClusterBased,0.6666666666666666,0.0893854748603352,0.15763546589531416
009.txt,rouge-1,Final,0.5583333333333333,0.7486033519553073,0.6396181335307957
009.txt,rouge-2,GraphBased,0.4915254237288136,0.16292134831460675,0.24472573465719527
009.txt,rouge-2,FeatureBased,0.6111111111111112,0.6797752808988764,0.6436170162907425
009.txt,rouge-2,ClusterBased,0.6086956521739131,0.07865168539325842,0.1393034805603822
009.txt,rouge-2,Final,0.497907949790795,0.6685393258426966,0.570743400382773
009.txt,rouge-l,GraphBased,0.5490196078431373,0.24347826086956523,0.3373493933335753
009.txt,rouge-l,FeatureBased,0.631578947368421,0.7304347826086957,0.6774193498650495
009.txt,rouge-l,ClusterBased,0.6818181818181818,0.13043478260869565,0.21897809949384622
009.txt,rouge-l,Final,0.509090909090909,0.7304347826086957,0.5999999951594388
010.txt,rouge-1,GraphBased,1.0,0.23076923076923078,0.374999996953125
010.txt,rouge-1,FeatureBased,0.5566037735849056,0.5673076923076923,0.5619047569052155
010.txt,rouge-1,ClusterBased,0.5454545454545454,0.11538461538461539,0.19047618759385238
010.txt,rouge-1,Final,0.4327485380116959,0.7115384615384616,0.5381818134786117
010.txt,rouge-2,GraphBased,1.0,0.22330097087378642,0.36507936209498626
010.txt,rouge-2,FeatureBased,0.3619047619047619,0.36893203883495146,0.3653846103850777
010.txt,rouge-2,ClusterBased,0.42857142857142855,0.08737864077669903,0.14516128750910512
010.txt,rouge-2,Final,0.3411764705882353,0.5631067961165048,0.4249084202095829
010.txt,rouge-l,GraphBased,1.0,0.3108108108108108,0.47422680050589866
010.txt,rouge-l,FeatureBased,0.4666666666666667,0.47297297297297297,0.46979865271834603
010.txt,rouge-l,ClusterBased,0.5454545454545454,0.16216216216216217,0.24999999646701393
010.txt,rouge-l,Final,0.4322033898305085,0.6891891891891891,0.5312499952625869
