Evaluation for Feature based Summary
File Name,ROUGE,Precision,Recall,F-measure
010.txt,rouge-1,0.7653061224489796,0.8064516129032258,0.7853403091395522
010.txt,rouge-2,0.6804123711340206,0.717391304347826,0.6984126934161978
010.txt,rouge-l,0.7605633802816901,0.782608695652174,0.7714285664295918
011.txt,rouge-1,0.5121951219512195,0.5060240963855421,0.5090909040910927
011.txt,rouge-2,0.38271604938271603,0.3780487804878049,0.38036809315969744
011.txt,rouge-l,0.46875,0.46875,0.46874999500000003
012.txt,rouge-1,0.7573529411764706,0.7803030303030303,0.7686567114190244
012.txt,rouge-2,0.7111111111111111,0.732824427480916,0.7218045062793261
012.txt,rouge-l,0.7311827956989247,0.8095238095238095,0.7683615769338313
013.txt,rouge-1,0.7878787878787878,0.8387096774193549,0.8124999950048829
013.txt,rouge-2,0.7557251908396947,0.8048780487804879,0.7795275540600782
013.txt,rouge-l,0.7976190476190477,0.8933333333333333,0.8427672906135043
014.txt,rouge-1,0.4935064935064935,0.6551724137931034,0.5629629580620029
014.txt,rouge-2,0.3782608695652174,0.5028901734104047,0.4317617817005216
014.txt,rouge-l,0.47019867549668876,0.5867768595041323,0.5220588185902358
015.txt,rouge-1,0.8159722222222222,0.8333333333333334,0.824561398509326
015.txt,rouge-2,0.7735191637630662,0.7900355871886121,0.7816901358456284
015.txt,rouge-l,0.8263473053892215,0.8571428571428571,0.8414634096358196
016.txt,rouge-1,0.5607476635514018,0.5263157894736842,0.5429864203443828
016.txt,rouge-2,0.41509433962264153,0.3893805309734513,0.4018264790233732
016.txt,rouge-l,0.524390243902439,0.5375,0.5308641925316263
017.txt,rouge-1,0.8395061728395061,0.7640449438202247,0.7999999950110728
017.txt,rouge-2,0.7625,0.6931818181818182,0.7261904712018142
017.txt,rouge-l,0.8571428571428571,0.7714285714285715,0.8120300702018205
018.txt,rouge-1,0.4025974025974026,0.543859649122807,0.46268656227556254
018.txt,rouge-2,0.3157894736842105,0.42857142857142855,0.3636363587511479
018.txt,rouge-l,0.4126984126984127,0.5777777777777777,0.4814814766203704
019.txt,rouge-1,0.3007518796992481,0.425531914893617,0.35242290263657367
019.txt,rouge-2,0.1590909090909091,0.22580645161290322,0.186666661816889
019.txt,rouge-l,0.32978723404255317,0.43661971830985913,0.37575757085472916
020.txt,rouge-1,0.5847953216374269,0.746268656716418,0.6557376999916151
020.txt,rouge-2,0.5073313782991202,0.6479400749063671,0.5690789424424884
020.txt,rouge-l,0.5911330049261084,0.7407407407407407,0.6575342416384314
021.txt,rouge-1,0.6067415730337079,0.7152317880794702,0.6565349494409698
021.txt,rouge-2,0.5084745762711864,0.6,0.5504587106304183
021.txt,rouge-l,0.5619834710743802,0.6476190476190476,0.6017699065294856
022.txt,rouge-1,0.5114503816793893,0.6320754716981132,0.5654008389374923
022.txt,rouge-2,0.4153846153846154,0.5142857142857142,0.4595744631416931
022.txt,rouge-l,0.5157894736842106,0.6712328767123288,0.583333328419076
023.txt,rouge-1,0.5523809523809524,0.6823529411764706,0.6105263108448754
023.txt,rouge-2,0.5,0.6190476190476191,0.5531914844182889
023.txt,rouge-l,0.5915492957746479,0.6176470588235294,0.604316541764919
024.txt,rouge-1,0.6746987951807228,0.691358024691358,0.6829268242690363
